State,District,Latitude,Longitude,District code,Population,Male,Female,Literate,Male_Literate,Female_Literate,Hindus,Muslims,Christians,Sikhs,Buddhists,Jains,Others_Religions,Housholds_with_Electric_Lighting,Households_with_Internet,sex_ration
Tamil Nadu,Dindigul,10.377801390820574,77.78011279554937,612,2159775,1080938,1078837,1481834,816180,665654,1879494,105012,169945,313,256,71,138,500057,9155,998.0563177536546
Tamil Nadu,Erode,11.267012155963302,77.42034334862392,610,2251744,1129868,1121876,1492662,828300,664362,2115455,76098,55899,435,148,639,157,595211,18604,992.9266073559036
Tamil Nadu,Kancheepuram,12.496424756511884,80.08820360135913,604,3998252,2012958,1985294,3013382,1611461,1401921,3537399,173785,256762,1620,990,4962,756,961161,100322,986.2570406337339
Tamil Nadu,Kanniyakumari,8.183466300191206,77.32053064053538,629,1870374,926345,944029,1548738,780541,768197,909872,78590,876299,160,438,156,10,465692,15673,1019.090079829869
Tamil Nadu,Karur,10.79532776617955,78.08749686847604,613,1064493,528184,536309,727044,401726,325318,993666,53292,16483,115,29,7,79,264949,4915,1015.3828968692728
Tamil Nadu,Madurai,9.904313833333331,78.01366033333332,623,3038252,1526475,1511777,2273430,1223810,1049620,2760502,168881,97711,520,199,1532,305,754141,34097,990.3712802371477
Tamil Nadu,Nagapattinam,10.789468161718286,79.79437299431483,618,1616450,798127,818323,1213008,640916,572092,1435072,128617,47579,184,450,963,110,381940,5585,1025.3042435602354
Tamil Nadu,Namakkal,11.33766638477801,78.14624841437633,609,1726601,869280,857321,1176131,653312,522819,1673652,32483,16909,183,108,84,199,441044,8960,986.2426375851279
Tamil Nadu,Perambalur,11.260137758112096,78.86034011799416,615,565223,282157,283066,375823,208011,167812,521658,32702,10301,83,39,38,26,135751,1507,1003.2216106635667
Tamil Nadu,Pudukkottai,10.130514816433578,79.05444484265728,621,1618345,803188,815157,1110545,608776,501769,1428784,114194,72850,119,81,32,293,354493,4494,1014.9018660637361
